['Data', 'Carro', 'Transporte', 'Nota', 'Chave']
['16/02/2022 04:30', 'VUC', '0000144418', '001678479', '35220261472205000407550010016784791166863742']
['16/02/2022 04:30', 'VUC', '0000144418', '001678481', '35220261472205000407550010016784811281060574']
['16/02/2022 04:30', 'VUC', '0000144419', '001678580', '35220261472205000407550010016785801993955610']
['16/02/2022 04:30', 'VUC', '0000144419', '001678583', '35220261472205000407550010016785831540198291']
['16/02/2022 04:30', 'VUC', '0000144419', '001678587', '35220261472205000407550010016785871194836190']
['16/02/2022 04:30', 'VUC', '0000144419', '001678581', '35220261472205000407550010016785811206608490']
['16/02/2022 04:30', 'VUC', '0000144419', '001678584', '35220261472205000407550010016785841885163791']
['16/02/2022 04:30', 'VUC', '0000144419', '001678588', '35220261472205000407550010016785881670107802']
['16/02/2022 04:30', 'VUC', '0000144419', '001678585', '35220261472205000407550010016785851407969848']
['16/02/2022 04:30', 'VUC', '0000144419', '001678589', '35220261472205000407550010016785891925160719']
['16/02/2022 04:30', 'VUC', '0000144419', '001678582', '35220261472205000407550010016785821958210730']
['16/02/2022 04:30', 'VUC', '0000144419', '001678586', '35220261472205000407550010016785861777911108']
['16/02/2022 04:30', 'VUC', '0000144419', '001678590', '35220261472205000407550010016785901240834111']
['16/02/2022 04:30', 'VUC', '0000144419', '001678579', '35220261472205000407550010016785791785114543']
['16/02/2022 04:30', 'VUC', '0000144419', '001678578', '35220261472205000407550010016785781423259464']
['16/02/2022 04:30', 'VUC', '0000144419', '001678577', '35220261472205000407550010016785771173272666']
['16/02/2022 04:30', 'VUC', '0000144420', '001678751', '35220261472205000407550010016787511474289252']
['16/02/2022 04:30', 'VUC', '0000144420', '001678755', '35220261472205000407550010016787551844256980']
['16/02/2022 04:30', 'VUC', '0000144420', '001678752', '35220261472205000407550010016787521140898967']
['16/02/2022 04:30', 'VUC', '0000144420', '001678756', '35220261472205000407550010016787561338705114']
['16/02/2022 04:30', 'VUC', '0000144420', '001678759', '35220261472205000407550010016787591285133806']
['16/02/2022 04:30', 'VUC', '0000144420', '001678753', '35220261472205000407550010016787531640574130']
['16/02/2022 04:30', 'VUC', '0000144420', '001678757', '35220261472205000407550010016787571192695265']
['16/02/2022 04:30', 'VUC', '0000144420', '001678760', '35220261472205000407550010016787601789701680']
['16/02/2022 04:30', 'VUC', '0000144420', '001678754', '35220261472205000407550010016787541279428909']
['16/02/2022 04:30', 'VUC', '0000144420', '001678758', '35220261472205000407550010016787581583962870']
['16/02/2022 04:30', 'VUC', '0000144420', '001678761', '35220261472205000407550010016787611712809610']
['16/02/2022 04:30', 'VUC', '0000144420', '001678750', '35220261472205000407550010016787501012399149']
['16/02/2022 04:30', 'VUC', '0000144420', '001678748', '35220261472205000407550010016787481184711576']
['16/02/2022 04:30', 'VUC', '0000144420', '001678749', '35220261472205000407550010016787491273116484']
['16/02/2022 04:30', 'VUC', '0000144421', '001678765', '35220261472205000407550010016787651641866330']
['16/02/2022 04:30', 'VUC', '0000144421', '001678768', '35220261472205000407550010016787681744289613']
['16/02/2022 04:30', 'VUC', '0000144421', '001678771', '35220261472205000407550010016787711472293310']
['16/02/2022 04:30', 'VUC', '0000144421', '001678766', '35220261472205000407550010016787661245879194']
['16/02/2022 04:30', 'VUC', '0000144421', '001678769', '35220261472205000407550010016787691435062948']
['16/02/2022 04:30', 'VUC', '0000144421', '001678772', '35220261472205000407550010016787721812329444']
['16/02/2022 04:30', 'VUC', '0000144421', '001678773', '35220261472205000407550010016787731583651197']
['16/02/2022 04:30', 'VUC', '0000144421', '001678767', '35220261472205000407550010016787671915510095']
['16/02/2022 04:30', 'VUC', '0000144421', '001678770', '35220261472205000407550010016787701170940587']
['16/02/2022 04:30', 'VUC', '0000144421', '001678774', '35220261472205000407550010016787741308529456']
['16/02/2022 04:30', 'VUC', '0000144421', '001678764', '35220261472205000407550010016787641633521675']
['16/02/2022 04:30', 'VUC', '0000144421', '001678762', '35220261472205000407550010016787621198391241']
['16/02/2022 04:30', 'VUC', '0000144421', '001678763', '35220261472205000407550010016787631929178374']
